,Comments
397,"Bhaiya Dil ke kuch bolna chahta hun lekin Alfaaz nahi hai ..  to ye likh raha hun
Date 14/09/2021 - I am Anish Kumar , currently YT pe 20 vids , aur aaj se puri mehnat se kaam karunga , aur ek din boht jald mera bhi ayega , jab mai apne pehle camera ka video banaunga aur yaha pe aake cmnt edit karunga , aur link dal ke jaunga. 
To Then Thank You Bhaiya for sharing your dream ❤️🙌"
398,Tabahi 🔥🔥🔥🔥🔥🔥🔥
399,Bhai  konsi company me hui apki placement?
400,Bhai plzz batao kahaa se seekhi aisi khatarnaak editing and story telling 🔥🔥🔥
401,Bhai ka face gta sandreas cj ki jasa hai
402,Imagine getting a like by Ajay bhaiya🙏👍
403,Arre Ajay bhaiya.......Aag laga Di Aapne You inspire each and every one of us...Your editing skills are growing like a professional...❤️
404,Kaunsa language se apne placement phoda bhai?I am final year student now and I know nothing about programming 😖?
405,congrats. brother !!
406,Nice too good lage raho bhai
407,ooo bhaiii.....your editing.....iittaa perfect hota hey ki kuch sochne ka time nahi milta❤❤
408,6 mahno mein banda badal gya for good crazy skill learnings
409,Bhai CTC to bta do
410,Bhaiya cinematics mein kaunsa song lagaya h ... Shandar h ❤️❤️
411,Bhai placement ke baad ki boriyat se kese lde?
412,god level editting 🤩🔥🔥
413,🔥💯Storytelling+filming+editing 💯🔥
414,Bbaiya 🥰🥰🥰🥰🥰🥰🥰( your videos story telling is too smooth)
415,Bhia how to improve communication skill bhia mae sb janta rhta hu prr jb bolnae ki baat aati hai to mae bol nhi paata
416,Bhaiya can you please make a video on which all courses should be pursued by computer engineering students for better placements and also when should we pursue them...I'm in 2nd year now studying computer engineering
417,Your content is fuckin gold!
418,❤️
419,"Maza aa gaya bhaiya...remember the time when i subscribed you at 600 subscribers, and now this is really inspiring❤❤"
420,"1.you should buy a stabaliser for your cam
2.can you make a series where you upload 2 comedy vids every week day you will decide 
big fan sirr!!"
421,"Bhai package toh batao...,😃😃😃😎😎😎👍"
422,Cinematography is being level uped day by day
423,wah bhaiya
424,Oh bhai shahab editing level is baap level 🔥🔥🔥🔥
425,Last line dil jhit liya upgrade your skills
426,Love u bhaiya
427,People wants to know your video editor 😀
428,Indian Dan mace !! All the best brother
429,can you tell me which app do u use to edit the video
430,Story telling oppp🔥🔥🔥🔥🔥🔥🔥🔥
431,Vai please please jo aapne 4 camera ki comparison kiya uska video leke aao ki kyu aapne sony ko hee chose kiya and price wagera sab please
432,"Jabardasth editing hoti he apke video bhaiya OP. 👍
The best part is transition, mind-blowing."
433,Bhai package kit ne ka laga hai aap ko ....?
434,Nishant ki smile is Cherry on the cake of this video.
435,Just amazing 👏😍
436,Bhaiya app phone kaun sa use krte ho video bnanae ke lieee
437,Dope editing and storytelling 🔥🥵
438,Hey .I hope you are doing well out there. I just subscribed your channel after your placement video .congrats  .I.am going to watch your all videos now.
439,Bhai video editing ka course bana do....op editing
440,"Bhai plz bullet pe video Lao kesi CHL Rahi hai, m Leni chata hun issliye plz video Lao bullet pe"
441,Dekhni too 360 main hi hai 😂😂 bhai m 480 m dekhta hun
442,Wow bhai aap editing bhout aachi krte hooo....... Filmo jesi
443,KYA HI EDITING😍
444,O bhai...mai abhi just Sourav Joshi vlogs dekh kar aaya tha
445,Great quality content bhai keep the work going
446,"The yu are going brother 



Dont need to became like junejo 
Yu would be always ajay raj bhiya ❤❤❤❤❤❤"
447,Editing level is increasing day by day.
448,"Bhaiya, B tech. Computer Science and Bussiness System (CSBS) kya hota hai...."
449,"Bhai meri bucket list m bhi cheeze hein jinki beech m confused hu, Pehle Iphone lu ya camera?? or ya fir iphone se bhi camera ka kaam bhi ho jayega??"
450,storytelling LIT !!!   🤩🤩
451,Rashu and piyush was unexpected !!
452,kisne kaha ki dekhni 360 mein hi hai data sasta hogaya hai ab 4k wale logon ki sankhya bhi badh gayi hai 4k nhi toh 1080p atleast😊
453,Nishant Bhaiya Op Smile
454,Ab maja ayiga na biduu......😌❣️
455,Bhaiya video AGG hai💥💥💪🔥
456,Company la name to bta do
457,Bhai dtu ma attendance ka kya seen ha plz batooo and plz batoo kya iit /nits re jayda time milta ha to pursue our passion such as startups
458,Library scene Op
459,"Ekdam Gajabh ka editing hain bhai,super, aur kuch nai bol sakte,super re"
460,At the end I thought ab aaega skill share ka integration 😂😂😂😂
461,"Bhaiya please show us Classrooms of DTU and new building complex , also new hostels for students.
PLease.........................................................................."
462,Awesome
463,Bhaiya u always give me Motivation that even without equipments u can do many things ❤️❤️❤️✨✨✨
464,"From 
Motu to builder 
We have come so far"
465,Bro legend level cinematics shots hai 🤘🙌
466,Bhaiya Coding Ninja ka course khareedna h COUPON CODE de do
467,"Bhaiya, video Editing ki series upload kroge?"
468,🔥🔥🔥🔥web series
469,"When he said ""Skills upgrade karna jaroori hai""
I was like ""SO HERE COMES SKILLSHARE FOR U"""
470,Bhaiya ... Quality of ur content is growing at the rate of 🔥🔥🔥🔥... Intro is lit as always ❤️❤️❤️
471,video  aditing ek no.
472,"Bhaiya apni placement par bhi video bana doo,  matla konsi company ma ap placed hua ho and package"
473,Lmao after watching like 50 -100 video of yours over a year finnaly am subscribing(apology) keep up the good work!
474,Op video ❤️
475,Love the cinematic shots. Just amazing!
476,editing OP🔥
477,Nishant bhaiya op!
478,"Your story Telling Style🔥🔥
And that smile when you finally bought the camera😂❤️
Keep Growing bhaiya and keep making such story telling interesting videos please"
479,Cinematography 🔥🔥
480,Song is damn cool 🔥
481,😍😍
482,"Congratulations bhaiyaa .. 💯💯❤️❤️
That..smile..While unboxing is  PERFECT 🙂🙂💯💯❤️❤️"
483,Flying Beast OP🔥🔥🔥
484,"Bhai Editing or Cinematography bhot next level hai 🔥🔥
Op 🔥🔥🔥"
485,bhai aapki girlfriend ban jaaye toh tips share kardena
486,Editz are just ❤❤❤
487,Bhaiya when will u tell ur company?
488,bhaiya now plz upload regular videos
489,Ajay bhaiya thumbnail is awesome🔥❤️
490,Awesome work bhaiya💯💯💯
491,Bhaiya You Are My Inspiration...
492,"bhai tumhe mcu me hona chahiye , editing 😱😱😱😱"
493,"bhaiya editing is top notch
love the video❤❤"
494,Best ha bhai🤩🤩🤩
495,Ur editing has just gone into next level . Keep rocking bhaiya
496,"I started watching his channel to get nostalgia of my college , but dude i’m more interested in your stories now. Thats the power of story telling. Well done!"
497,Bhut bdiya bhaiya.... 🔥🔥🔥❤️❤️
498,op editing 🔥
499,Video editing just next level bhaiya👌
500,Ab ap v placement preparation roadmap bna do!!!
501,Bhaiya placement journey 🙏🙏🙏
502,Ab to bhaiya aap free Ho Gaye....now we want proper 10-12mins videos/vlogs🔥💯
503,Editing ke badshah
504,Nice bhaiya ji😍❤💯
505,Aeshtetic
506,Ajay bhaiya konsi company mein placement lagi????????
507,"Bhai youtube per sabse bada fan hu 3 channel ka usme  
1 Flying Beast
2 sourav joshi 
3 ajay raj 
Maja aa gaya aaj to ajay bhai"
508,Bhai jo Editing krte ho na jazaab hai wo kabhi Editing ki tips dena anee wali videos me
509,Your style is so much similar to dilli ka ladka channel.
510,Heavy Youtuber ❤️
511,02:30 background music name?
512,Quality content bro... Loved it ❤
513,You are editor >>>>>>>> You are developer 😂😂 Lots of love bro ❤️❤️
514,bhaiya esi editing seekh chuke ho ab to filmo se bhi order aata hoga le bha tu h karle humari editing...    luv ur video bhaiya♥♥😀
515,Editing 🔥🔥🔥🔥🔥🔥🔥
516,"What a beauty, can't wait to meet this beast! 🥺❤
Full stop motion baazi 😳❤"
517,So happy for you bhaiya !! Keep growing ! ♥♥
