,Comments
518,3:24 This just brought a Smile to my Face idk why but bro love your videos..Keep it up and all the best for the future
519,"your narration and the editing is fuckin' OG man! how can I relate so much to you bhai..similar goals, similar interests everything is dope. Keep grinding bruh..placement lagte hi milta hu! ✌"
520,bhai bhai editing pro max :)
521,Bhaiya ab to aapki  creativity next level jaa rhi he🔰🔰😀😀
522,You should teach video editing to bollywood ajay bhai. Maal editing ❤️
523,Mai bata nahi sakta iss video se mujhe kitni motivation mili hai bhaiya
524,"Camera aaya Naya
Abhi maja aayega na bhidu😂"
525,Money can't buy happiness is a myth
526,3:48 iam watching at 360p 😅
527,bhai saab ghaatak editing...keep going bro
528,"ye 4min , 1min me kese khtm ho skte hai?"
529,Bhai apne video editing & film making kis course se seekhi pls batao
530,Bhai video editing k liye best course(paid or free) suggest karo??
531,Damn editing 🔥🔥
532,"Bhaiya, please make a detailed video on video editing (a new one) in which please show how do you make those amazing transitions!"
533,2.5 lac karch kiye hai share karna Banta hai 😍
534,Bhaiya please make a video on class 12 marks in placement
535,Full mauj chal rhi bhaiyon ki
536,arae ajey bhai aap ek video editing ka course bana do badiya rahega humare liyae bhi.
537,Video titles are also amazing it make us curious abt the story
538,Omg the quality is lit 🔥nd I m fan of ur storytelling bro 😍
539,"Bhaiya ek laptop buy krne k liye video bna do......for the new commerce
Like👍 if u want the same❤️"
540,Every second is awesome ❤️
541,♥😍
542,Fully JUNEJO vibes
543,Brother....just you are my inspiration
544,"Videography and editing skill ek no.👌👌👌 
Aur story telling bhi ek no. Bhai🔥"
545,Bhai.... Kya dope editing 🔥🔥🔥
546,Bhaiya konae editing class join kiye ho 🤣🤣 hme v btao 😁
547,Ajay bhaiya next level video 🔥😾
548,"You should watch the video ar 1080p or the ful quality
To appreciate Ajay Raj bhaiya's effort
 🔥🔥🔥🔥👍👍👍"
549,Bro fine  storytelling✨✨
550,Bhai jee pe video banao specially 11 class
551,"Ajay bhaiya....the transition from camera to phone n vice -versa....n the story telling + filming + everything was❤️💥💥
U inspire me a lot...I m 1st UG
Love from Karnataka ❤️"
552,Editing next level!!!😍
553,the video is superb
554,Maassttt 🔥. Last Line ke baad laga skillshare ka promo ayega 😁.
555,Op edition 😀op🔥🔥🔥
556,Love u content Bhaiya ❤️
557,4:36 abhi laga tha ki skillshare ki promo aayegi😅😅
558,Wanna Video on your Last Moment Placement preparation !!
559,Kitne ka laga placement 🥴🤭? Kab reveal krre
560,New Journey Begins !!❤🎇
561,Bhaiya aaj to chehre pe alag hi chamak hai...... Placement kaa kamal
562,Bhai yrr upgrade ❤️🥰.
563,Irfan Junejo sir ki Jhalak 🔥🔥
564,Editing har video ke next level hoti ja rhi hai.🔥🔥🔥
565,"Bhaiya aapka camera video k liye hai ya photos click k liye ya both 
By the way awsome video aapki life ab mst ho rahi hai"
566,Editing level 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥❣️❣️❣️❣️❣️❣️❣️
567,Waah bhaiya♥️♥️🔥🔥🔥🔥
568,"Is this my list. 
Or we are just one step ahead on the timeline ❣️"
569,Dekhni tho 360 pe hi hai...🔥🔥🔥ajay bahi op
570,Iam jealous of u 😂
571,Sooona hai...paytm mei hua hai
572,Bhai company and package batado yrr... just cant wait for that reveal
573,my dream 📸
574,Damn ur editing bruh ❤️
575,"End mai bilkul shi baat boli bhai. I also experienced the same thing. And I have seen people still shooting from phone and reach 600-700k. It's just the matter of skills. I also have poco X2, and it's portability and the stabilization! OMG! SO KILLER. I feel is better poco X2 over sony a6400 for vlogging. As stable footage is more important than quality.

And congrats for a new camera. All the best!"
576,Gjb🥳🥳
577,OG bro editing ki jhuka k li h 🔥 Bawa IT mai kya krr rhe ho tumhara career toh YouTube pe h!!
578,I made it 1k 😊
579,Video OP 🔥❤️
580,Background music ki wjh se copyright nhi ayega?
581,Bhaiya salary bhi bata do plz 😅
582,"Bhaiya u need to know that ur a very good cinematographer...
Lots of love and motivation :)"
583,Ma tho 144p pr dekh raha hu😂😂
584,F*ck man! You're getting professional now 🔥🔥🔥🔥
585,"Bhai, aap mere one of favourite youtuber ho. M kisi bhi creator ki video ko baad me  dekhenge kr skta hu, pr aapki video pta lgte hi dekhta hu. Kyoki aap sabki trh gyan nii dete ki iit k liye ye kro, itni marks itni %ile , to dil se love ❤ you aapko. Ho ske to bhaiya plzzz video thoda jldi laya kro, ab to aapki placement bhi hogi. ❤❤❤❤"
586,"Bhaiya this is my request to you please make a video on “will software engineer jobs disappear after 20-30 years due to AI"". Please bhaiya if can't make a video please reply me because I am very much confused about my career."
587,Your video is getting day by day better and better since I am watching from long time (Techskol). Method of presenting intro and title of video is best. And I am loving it.❤️ keep it up bhaiya.👍
588,"Literally man, you editing skills are sharpened like Jaddu's Sword......... You just nailed it"
589,Nailed it❤❤
590,Please
591,Jac delhi
592,Bhai package kitna laga wo to batao
593,Bhaiya aap video kaise edit karte ho uski ek video bana do
594,"bhaiya  kya editing ho rahi hai abb to ,"
595,bhai 1080p me dekhte hai
596,Ab chaiye hai pro level editing ka roadmap😂😂🔥🔥🔥
597,Ab to job lag gyi bhaii ki ab to aish hai
598,Ajay Bhaiya ki video aate hi paet mein gudgudi aur muh Pr smile aa jaati hai 😍😍
599,Just trust the process 💯
600,Camera #op 👍👍👍
601,Placement ke baad se videos mein bohot satisfaction aur ek charm dekhne ko mil rha hai. It feels as if now you are free from everything and giving your best to the videos. Keep it up!!
602,Kis company me job laga?
603,"Placement ke baad kya kya kaam krna pdta h , ya chhutti body hi bnani h ?"
604,Op bro .
605,Bhai bhot motivation milti hai video dekh ke🙌😍
606,"Bro ye to shuru hote hi khatam ho gaya....
😅😅😂"
607,Op filming skills
608,Bhai company ka btao and salary kya hai 😂
609,"Keep growing ajay Bhai❤️
 Humko bhi tumko dekh kr aise explore krne ka motivation milta h🔥💯 hope so i will meet u soon bro💯
Edit : got heart by bhaii😁🔥❤️"
610,Bhai dil jeet lete ho aap.yaar
611,"Yrr ye itni mast video editing kaha se seekh rahe ho 🔥🔥🔥
Mast editing bhaiya ❤️❤️❤️❤️❤️"
612,Too good bhaiya 👌🏻 keep uploading such quality content.⚡
613,"Arey bhaiya itni acchi editing mat karo
 haters bhi video like karke ja rahe hai 😜"
614,"Aaaaa
AJAY BHAIYA MAST NJOY KAR RHE HO🔥🔥
PARTYY
KONSI JOB LAG GAYE NAHI BOLA"
615,Bhai !🔥
616,mee aajtk 144p se uper ni gya
617,Ek dam mast. Keep growing ajay Bhai.♥️
618,Bhai sated tumne is phale mtlb kl ACCENTURE  ke upar video uplod ki the fr del. Kyu kr diay
619,Ajay bhaiya really happy for You ❤
620,Editing op 💥💥💥
621,"1:21
2:40
3:25"
622,🔥🔥
623,Bro editing pe tutorial laona plz ..
624,Big fan of you bro❤️
625,Amazing again! 🔥🔥🔥
626,Op editing bro 🔥🔥🔥
627,"college k baad gf 🤔🤔
mne toh socha hai hh ki college me jakr bnaunga"
628,Bhai please reply is MALAI CHAAP safe to eat???
629,Inspiration .... op cinematographyyyy...
630,God editing
631,Ajay bhai be like-  abi na majjaa aayega biduuu🔥🔥🔥🔥😂😂❣️❣️❣️❣️❣️
632,🔥🔥🔥🔥
633,Bhai tum toh bade heavy shots lene lag gye🔥❤️
634,I am watching in 240p 😎
635,Editing ❤❤❤
636,Piro bhaiya ji
637,Bhai dtu ke bachelor of design ke upar ek video banado plz
638,gg
639,Pls tell us how you edit your videos !!! 😭🔥🔥🔥㊗️
640,Bhai💯💯👌🏾
641,Editing OP 👌👌
642,Editing on next level 🔥💫
643,Paisa hi paisa hoga 🤣🤣🤣🤣🤣
644,3:46 144p pe dekh raha hoon bhai
645,"Hats off to your creativity 
Shots were insane 🤯"
646,Please video consistent and 10 mins
647,Please 10 min video
648,At last I thought this is sponcerd by skil share 😂
649,Bhaia please kam se kam 10 mins ki video banao na
650,"Oh bhai😍
Apne soldier ko AWM with 8x mil gayi, ab toh tabahi hogi🔥💯"
651,Bhaiya editing pe full details me ek video banao .
652,Bhai kitne ki pakage lagiii
653,"Amazing bhaiya.We are such an inspiration.Incredibly narrated Everything.
Hope to meet u once❤️❤️"
654,Bhai kitne ki pakage lagiii
655,Bhaiya apne joining bonus se camera lia h n??? Pesa hi pesa
656,"If in future u get fed up by your job u can literally earn more than your job by you tube and doing free lancing video editing,u r piro editor 🙄"
657,Video scripting and storytelling is OP ! ❤️
658,Bhaiya editing  level outstanding.  👍👍
659,editing and cinematic tutorial dalo
660,@DilliKaLadka and @Ajay Raj are my favourites now❤️❤️
661,Editing is on fire 🔥🔥🔥🔥🔥. Keep it up bro 😉
662,"Editing level din pratidin aise chr ra h ab kuch dino m Hollywood wale bhi ghabra ne wale h ab unke carrier ka kya hoga 😂😂
❤️❤️EDITINGOP×100™"
663,"Bhai aap badal gye placement lagne ke baad . Ek dedicated video la do pls Puri coding journey aapki and resources ke Saath.
Bahut need h bhaiya pls"
664,Playing on loop bro 🔥🔥🔥🔥
665,"Your shots are just *MIND BLOWING* !! ❤️❤️
Looking forward for more videos! 🤩"
666,"Bhaiya pranam 



Ek sabd :- gajab"
667,"Bhaiya editnig + shoot op, bike lunga to aapko bulaunga cinematography ke liye🤩"
668,editing tutorials please
669,ajay bhai video bhot hi mast tha. but pixels phat rhe the video me .apne low bitrate ya low resolution me post kia ho? if then plz upload future videos in mas resoluion and bitrates. It is not an X factor but if you will do it will be great. Aur ha usse video ko dekhne koi problem utni nai aayi apki videos to as all ways awsm hi hoti h <3
670,Bhaiya kaha se sikhe ho cinematography mujhe bhi sikhna please 🙏
671,Intro ka levellllllll
672,Op bhaiya 🥳🥳
673,Mai toh net save karne k liye 144p par dekhta hu 😅🤣🤣😂😂
674,Love u idol bhaiyaaaa
675,Again op 🔥🔥 editing bhaiya
676,Editing😀
677,Bhai mubarak ho apki placement lag gyi!
678,Bhaiya mujhae dtu pie meilgi leni chaiye ya nahi main focus is placement please koi help kardo meri decission lene mae
679,🔥❤️‍🔥
680,bhai cinematograplhy is another level
681,Bai bullet par video bnaya karoo
682,Bhaiya editing kise YouTuber se sikhta ho plz bta doh mujha bhi sikhni h ❤️
683,Shots❤❤
684,Nice bhai finally tum le liya camera
685,Editing ek number thi🔥🔥
686,Bhaiya m to 144p pr dekhta hunn🤣🤣
687,Waah bhai maza aa gya
688,"sir you should reach 10 million very fast make a world record 
my support to you is alwayswith you"
689,How are your Afghanistani friends??
690,Editing bhai!!
691,Editing 🔥🔥
692,Mauj kardi bhaiya🤘🏻
693,Dtu m cs ya it k liye kitni percentile chahiye outside delhi (obc ncl) plz reply...
694,Ayehhhhhhh🔥👀👀🔥☠️🔥☠️🔥☠️🔥☠️🔥🔥☠️
695,Jaldi vedio upload kara karo bhaiya
696,Wahh bhai...Next level 💯...Maja agaya
697,Ye glt hai yrr .. Itne time baad video or vo bhi 4 min ki ..
698,Very Much Amazing ❤️❤️
699,Editing growing like e^x and x belong to positive integer only jee aspirant understand 😂😂😂 Ajay bhai smjhe Kya 😂😂😂😂
700,Hum first hum first 😂😂
701,Editing is on different level 🔥
702,Op
703,Bhai padhai pe concentrate ny hoo rha aur entrance aa rhe hai kasie start karu bhai 🙂❤️
704,👍👍
705,Yep boiss
706,3rd view
707,First with 300 others 😂😂
708,Big fan bhaiya
709,My inspiration 😊
710,fire Ajay bhai
711,First view first comment
712,3rd view 🤣
713,Osm bhai
714,First 😅
715,First view
716,2nd view
717,Best idea
718,Where u got this black one
719,Thank for this🔥
720,Guys anyone interested in premier pro tutorial ? Or more videos on skill development
721,Bro you deserve 1 million based on your editing skills
722,Bhai AP kaise Bollywood songs use karte hai apke videos mein uss mein to copyright lag ja raha hoga .. please help me with it bhai.. Love from BBSR❤
723,Nice information sir ji
724,there is always an indie guy who teaches us everything! thank you
725,@jevel bhai jaisa dikh Raha hai ya Bhai tho 🤣
726,Agar aapke pass sir phone ho to kaise sikhe
727,When i learn an master every thing...i don't know what will happen in future thank you... even now  your welcome brother .i really appreciated the work u put on creating this video
728,Shikhana he to sikhao
729,Bhai bakvas mat karo
730,Ap ki Video ka thumbnail sahi nhi he plz change
731,Premier pro free hai kya
732,bro how to get freelance work as editor??
733,Mic ka jugad sahi kiya hai kisi ne notice kiya
734,Thank you bhai..❤️
735,bhaiya ye sarre to paid h . beginner Banda kha se kre
736,"me in full mood to learn editing suddenly a different vibe start i am thinkung why the fuck this clip is out whole 
after that suddenly i see  SKIP AD 🤣🤣🤣🤣🤣🤣"
737,Kaha se ho bhai tumse mujhe milna hai
738,🔥🔥🔥🔥
739,Paid premier pro course?
740,Bhaiya meko ye batao apne utube se kahan se sikha mujai aj tak koi chennel nhi mila..
741,How much RAM required for video editing ?! 🥺
742,Thanks
743,You are such a gem on youtube👍👍👍👍👍👍👍👍
744,Bhai aapne editing course kha se kiya
745,Backchodi jayada gayan kam
746,7:08 I can correlated it 😁
747,Wowow nice
748,"Seriously I am watching your videos one by one becoz i feel so much similarities... 
Just saw yesterday video by looking the thumbnail and found it to be  lit 🔥"
749,Davinci resolve..is also good ..it's free ..same as premiere pro
750,Thanks bhai
751,Apki incom kitni ho jati hai is skill se
752,You are legend vro
753,5:37 I use modded Kinemaster 😂
754,Can I use davinci resolve
755,great video ajay bhaiya very helpful for begineers
756,Top 3 reel editing app 100% viral reels❤️‍🔥 https://youtu.be/k7-e3AAMBDU
757,RYZEN 5 5600H GTX 1650 FILMORA OR ADOBE
758,sir i am a diploma electrical engineer😊
759,Bhiye voice must hi love you bro
760,Is channel ke sabse best hai 👉 https://youtube.com/playlist?list=PLllOoiWCRszTbk4nVGj3scdPcAgCVb8_i
761,"Main to yahan se sikhta hu, BESTEST 👉 https://youtube.com/playlist?list=PLllOoiWCRszTbk4nVGj3scdPcAgCVb8_i"
762,can anyone tell me which software to use for free
763,bhai tu edius vul gaya ..wo best hai...middile class...and also for professionals and speed .....is best
764,Bhai starting mai jo music tha uska naam batao
765,Starting ka background music accha tha
766,Bhaiya without watermark wala kinemaster bhi hai
